"","2.5 percentile","5 percentile","10 percentile","15 percentile","20 percentile","25 percentile","30 percentile","35 percentile","40 percentile","45 percentile","50 percentile","55 percentile","60 percentile","65 percentile","70 percentile","75 percentile","80 percentile","85 percentile","90 percentile","95 percentile","97.5 percentile","ConfirmedCases"
"2020-01-21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2020-01-24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2020-01-25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2020-01-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2020-01-30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2020-01-31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2020-02-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"2020-02-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"2020-02-03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"2020-02-04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"2020-02-05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"2020-02-06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"2020-02-07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"2020-02-08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"2020-02-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"2020-02-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0
"2020-02-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0
"2020-02-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0
"2020-02-13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,0
"2020-02-14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,0
"2020-02-15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,0
"2020-02-16",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,0
"2020-02-17",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,0
"2020-02-18",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,0
"2020-02-19",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,3,0
"2020-02-20",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,3,4,0
"2020-02-21",0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,3,3,4,0
"2020-02-22",0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,3,3,4,4,0
"2020-02-23",0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,3,3,3,4,5,0
"2020-02-24",0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,3,3,3,4,5,5,0
"2020-02-25",0,0,0,0,1,1,1,1,1,2,2,2,2,2,3,3,3,4,4,5,6,0
"2020-02-26",0,0,0,1,1,1,1,1,2,2,2,2,3,3,3,3,4,4,5,6,7,0
"2020-02-27",0,0,0,1,1,1,1,2,2,2,2,3,3,3,4,4,4,5,6,7,8,0
"2020-02-28",0,0,1,1,1,1,2,2,2,3,3,3,3,4,4,5,5,6,7,8,9,0
"2020-02-29",0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,6,6,7,9,10,0
"2020-03-01",0,1,1,2,2,2,3,3,3,4,4,4,5,5,6,6,7,7,8,10,11,2
"2020-03-02",0,1,1,2,2,3,3,3,4,4,5,5,5,6,6,7,8,8,10,11,13,6
"2020-03-03",1,1,2,2,3,3,4,4,5,5,5,6,6,7,7,8,9,10,11,13,14,4
"2020-03-04",1,1,2,3,3,4,4,5,5,6,6,7,7,8,9,9,10,11,12,15,17,2
"2020-03-05",1,2,3,3,4,5,5,6,6,7,7,8,9,9,10,11,12,13,14,17,19,1
"2020-03-06",2,2,3,4,5,5,6,7,7,8,9,9,10,11,11,12,13,15,17,20,22,0
"2020-03-07",2,3,4,5,6,6,7,8,9,9,10,11,12,12,13,14,15,17,19,22,25,7
"2020-03-08",3,3,5,6,7,8,9,9,10,11,12,13,13,14,15,17,18,20,22,25,28,1
"2020-03-09",3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,25,29,33.0249999999996,9
"2020-03-10",4,5,7,9,10,11,12,13,14,15,16,17,18,19,21,22,24,26,29,34,39,4
"2020-03-11",5,6,8,10,11,13,14,15,16,17,19,20,21,22,24,26,28,31,34,39,44,15
"2020-03-12",6,7,10,12,13,14,16,17,18,20,21,23,24,26,27,29,32,35,38,44,50,14
"2020-03-13",7,9,12,14,16,17,19,21,22,24,25,27,28,30,32,35,38,41,45,52,59,19
"2020-03-14",8,10,14,16,18,20,22,24,26,27,29,31,33,35,38,41,44,47,53,60,68,30
"2020-03-15",10,13,16,19,21,24,26,28,30,32,34,36,39,41,44,47,51,55,61,70,78,57
"2020-03-16",12,15,19,22,25,27,30,32,34,37,39,42,44,47,51,54,58,64,71,83,92,59
"2020-03-17",14,17,22,26,29,32,35,37,40,43,46,49,52,55,59,63,68.1999999999998,74.1499999999996,83,96,107,52
"2020-03-18",17,21,26,30,34,37,40.7,44,47,50,53,56,60,64,68,73,79,86,95,109,123,73
"2020-03-19",19,24,30,35,39,43,47,50,54,57,61,65,69,74,79,86,92,100,111,129,143,72
"2020-03-20",23,28,35,41,46,51,55,59,64,68,72,77,82,87,93,99,107,115.15,128,147,165.025,87
"2020-03-21",26,32,40,47,53,58,64,69,74,78,83,88,94,100,107,114,124,134.15,149,172,193,145
"2020-03-22",30,37,47,55,62,69,74,80,86,91,97,103,109,116,124,133,142,156,173,200,221,153
"2020-03-23",35,44,56,66,73,80,87,94,100,106,113,121,129,137,147,156,168,182.15,202,236,266,172
"2020-03-24",41,52,65,75,84,93,101,108,116,123,132,140,149,158,169,180,193,209,231,267,297,486
