"","2.5 percentile","5 percentile","10 percentile","15 percentile","20 percentile","25 percentile","30 percentile","35 percentile","40 percentile","45 percentile","50 percentile","55 percentile","60 percentile","65 percentile","70 percentile","75 percentile","80 percentile","85 percentile","90 percentile","95 percentile","97.5 percentile","ConfirmedCases"
"2020-01-21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2020-02-08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2020-02-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"2020-02-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"2020-02-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"2020-02-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"2020-02-13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"2020-02-14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"2020-02-15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"2020-02-16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0
"2020-02-17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,0
"2020-02-18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,0
"2020-02-19",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,0
"2020-02-20",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,0
"2020-02-21",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,3,0
"2020-02-22",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,3,4,0
"2020-02-23",0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,3,3,4,4,0
"2020-02-24",0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,3,3,4,4,5,0
"2020-02-25",0,0,0,0,1,1,1,1,1,1,2,2,2,2,3,3,3,4,4,5,6,0
"2020-02-26",0,0,0,1,1,1,1,1,2,2,2,2,3,3,3,4,4,4,5,6,7,2
"2020-02-27",0,0,1,1,1,1,2,2,2,2,3,3,3,4,4,4,5,5,6,7,8,3
"2020-02-28",0,0,1,1,2,2,2,3,3,3,3,4,4,4,5,5,6,6,7,8,10,7
"2020-02-29",0,1,1,2,2,3,3,3,4,4,4,5,5,5,6,7,7,8,9,11,12,5
"2020-03-01",1,1,2,2,3,3,4,4,5,5,5,6,6,7,7,8,9,10,11,13,15,9
"2020-03-02",1,2,3,3,4,4,5,5,6,6,7,8,8,9,9,10,11,12,14,16,18,14
"2020-03-03",2,2,3,4,5,6,6,7,7,8,9,9,10,11,11,12,13,15,16,19,22,28
"2020-03-04",2,3,5,6,6,7,8,9,9,10,11,12,13,13,14,16,17,18,20,24,27,9
"2020-03-05",3,4,6,7,8,9,10,11,12,13,14,14,15,16,18,19,20,22,25,29,32,23
"2020-03-06",4,6,8,9,11,12,13,14,15,16,17,18,20,21,22,24,26,28,31,36,40,30
"2020-03-07",6,8,10,12,13,15,16,17,18,20,21,23,24,26,28,30,32,34,38,44,50,38
"2020-03-08",8,10,13,15,17,19,21,22,24,25,27,29,31,32,35,37,40,43,47,55,61,97
"2020-03-09",10,12,16,19,21,23,25,27,29,31,33,35,37,40,42,45,49,53,59,67,77,55
"2020-03-10",13,16,21,24,27,29,32,34,36,39,42,44,47,50,53,57,61,66,73,84,94,74
"2020-03-11",17,21,26,30,34,37,41,44,46,49,52,55,59,62,66,71,77,83,92,104.05,117,85
"2020-03-12",22,27,33,38,43,47,51,54,57,61,66,70,74,79,84,89,96,104,115,130,146,89
"2020-03-13",28,33,42,48,53,58,63,68,72,77,81.5,86,92,98,104,111,119,129,142,162,182,56
"2020-03-14",34,41,52,60,66,73,79,85,91,96,103,108,114,121,129,137,148,160,176,204,231.025,107
"2020-03-15",43,52,64,75,83,91,98,105,113,120,128,136,144,152,162,173,185,200,222,253,285,95
"2020-03-16",52,65,81,94,104,114,123,132,141,150,160,169,179,191,203,216,232,251,276,317,350,101
"2020-03-17",68,83,103,118,131,143,154,165,175,185,196,207,219,234,250,266,285,310,345,397,441.025,187
"2020-03-18",81,97.95,121,140,154,168,181,194,207.6,220,234,247,261,276,294,314,337,362,398,457,514,146
"2020-03-19",87,111,137,159,177,194,209,225,239,254,268.5,284,299,317,335,358,382,414,458,522,577.025,215
"2020-03-20",93,118,146,169,187,205,219,237,253,269,285,301,318,339,361,383,413,444,490,568.05,631.025,147
"2020-03-21",105,125,154,176.85,196,215,231,248,265,282,298.5,316,336,357,379,404,430,465,511,583,655.025,187
"2020-03-22",103,125,155,178,197,215,233,249,265,283,300,319,337,356,379,405.25,435,472,520,600,667,219
"2020-03-23",106,124,153.9,173,194,211,230,246,262.6,279,294,312,331,352,374,396,425,457,507,583,661.025,119
"2020-03-24",100,122,148,170,188,205,224,241,257,273,289,306,327,348,368,392,417,451,500,571,644.025,395
