"","2.5 percentile","5 percentile","10 percentile","15 percentile","20 percentile","25 percentile","30 percentile","35 percentile","40 percentile","45 percentile","50 percentile","55 percentile","60 percentile","65 percentile","70 percentile","75 percentile","80 percentile","85 percentile","90 percentile","95 percentile","97.5 percentile","ConfirmedCases"
"2020-01-21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2020-02-16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"2020-02-17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"2020-02-18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"2020-02-19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"2020-02-20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0
"2020-02-21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,0
"2020-02-22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,0
"2020-02-23",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,0
"2020-02-24",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,4,0
"2020-02-25",0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,3,4,5,0
"2020-02-26",0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,3,4,5,6,0
"2020-02-27",0,0,0,0,0,1,1,1,1,1,2,2,2,2,3,3,4,4,5,6,8,0
"2020-02-28",0,0,0,0,1,1,1,1,2,2,2,2,3,3,4,4,5,6,7,8,10,1
"2020-02-29",0,0,0,1,1,1,2,2,2,3,3,3,4,4,5,6,6,7,9,11,13,0
"2020-03-01",0,0,1,1,1,2,2,3,3,4,4,5,5,6,7,7,8,10,11,14,17,1
"2020-03-02",0,0,1,2,2,3,3,4,4,5,6,6,7,8,9,10,11,13,15,19,23,10
"2020-03-03",0,1,2,2,3,4,5,5,6,7,8,8,9,10,12,13,14,17,20,24,28,12
"2020-03-04",1,1,2,3,4,5,6,7,8,9,10,11,12,14,16,17,20,23,27,33,38.0249999999996,23
"2020-03-05",1,2,3,5,6,7,8,10,11,13,14,16,17,19,21,24,26,30,35,44,52,43
"2020-03-06",2,3,5,7,8,10,11,13,15,16,18,20,23,25,28,31,35,39,46,58,70,18
"2020-03-07",2,4,7,9,11,13,15,18,20,22,25,27,30,34,38,42,47,54,63,79.0500000000002,94.0249999999996,41
"2020-03-08",4,6,9,13,15,18,21,24,27,30,34,37,41,46,51,56,63,72,85,104,123,33
"2020-03-09",5,8,13,17,21,25,29,33,37,42,47,51,57,62,70,78,87,99,116,144,165.025,50
"2020-03-10",7,11,17,23,29,34,40,44,50,56,62,69,76,85,94,104,117,134,157,191.05,224,106
"2020-03-11",10,15,24,32,40,46,53,60,67,74,83,92,101,111,122,135,151,172,199,249,295.025,108
"2020-03-12",13,20,32,42,52,62,71,81,91,102,114,126,139,153,170,186,210,239,277.1,346,414,202
"2020-03-13",19,29,44,58,71,84,98,110,123.6,138,153.5,170,186,206,225,249,281,321,372,456,542.025,128
"2020-03-14",26,39,59,78,94,111,128,145,163,182,200,221,247,275.35,307,342,386,438.15,508,630.05,736.025,259
"2020-03-15",31,49,79,103,127,151,175,199,223,249,277,309,342.4,378,419,465,517,585.15,682.1,834,993.049999999999,477
"2020-03-16",49,73,113,145,175,208,239,272,305,340,375,412.45,455,499,546,607,675.2,761,882,1103.05,1299,1086
"2020-03-17",63,89,140,190,227,269,310,350,399,448,500.5,553,611,671,743.3,827,932,1059.15,1222,1521,1805.1,1972
"2020-03-18",80,131,203.9,261.85,323,379.75,432.7,494,552,612,686.5,756.45,832,917,1023,1124,1255.2,1415.3,1638,2042,2433.05,3003
"2020-03-19",124,180,260,336,420,501.75,578.7,650.65,734,811,907,1013,1116.4,1223.35,1357,1514,1696.2,1917,2216.1,2737.35,3352.225,3325
"2020-03-20",163.975,239.95,375,498,586,683,771,876.65,984,1091.1,1217,1337.45,1476,1625.35,1793.3,1986.5,2207.2,2522,2949.2,3676.15,4432.3,5048
"2020-03-21",216,328.9,491,639,783,918,1060.7,1185.65,1327.6,1474,1637,1796,1972,2180.35,2425.3,2676.5,3028.6,3416,3939.2,4868.1,5880.1,6088
