Date,2.5 percentile,5.0 percentile,10.0 percentile,15.0 percentile,20.0 percentile,25.0 percentile,30.0 percentile,35.0 percentile,40.0 percentile,45.0 percentile,50.0 percentile,55.0 percentile,60.0 percentile,65.0 percentile,70.0 percentile,75.0 percentile,80.0 percentile,85.0 percentile,90.0 percentile,95.0 percentile,97.5 percentile,ConfirmedCases
2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2020-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0
2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,0.0
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0
2020-02-25,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,0.0
2020-02-26,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,6.0,15.0
2020-02-27,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,6.0,7.0,0.0
2020-02-28,0.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,8.0,9.0,1.0
2020-02-29,1.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,10.0,11.0,1.0
2020-03-01,1.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,9.0,9.0,10.0,12.0,13.0,5.0
2020-03-02,2.0,3.0,4.0,4.0,5.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,9.0,9.0,10.0,10.0,11.0,12.0,13.0,14.0,16.0,5.0
2020-03-03,3.0,4.0,5.0,6.0,7.0,7.0,8.0,8.0,9.0,9.0,10.0,10.0,11.0,11.0,12.0,13.0,13.0,14.0,16.0,17.0,19.0,7.0
2020-03-04,5.0,6.0,7.0,8.0,9.0,9.0,10.0,10.0,11.0,12.0,12.0,13.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,23.0,10.0
2020-03-05,6.0,8.0,9.0,10.0,11.0,12.0,13.0,13.0,14.0,15.0,15.0,16.0,17.0,18.0,18.0,19.0,20.0,22.0,23.0,26.0,28.0,12.0
2020-03-06,8.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,28.0,31.0,34.0,14.0
2020-03-07,11.0,13.0,15.0,16.0,17.0,19.0,20.0,21.0,22.0,23.0,23.0,24.0,25.0,27.0,28.0,29.0,30.0,32.0,35.0,38.0,41.0,19.0
2020-03-08,14.0,16.0,18.0,20.0,22.0,23.0,24.0,25.0,27.0,28.0,29.0,30.0,31.0,32.0,34.0,35.0,37.0,39.0,42.0,46.0,50.0,12.0
2020-03-09,18.0,20.0,23.0,25.0,27.0,28.0,30.0,31.0,32.0,34.0,35.0,36.0,38.0,39.0,41.0,43.0,45.0,47.0,50.0,55.0,60.0,60.0
2020-03-10,22.0,25.0,28.0,31.0,33.0,35.0,36.0,38.0,39.0,41.0,43.0,44.0,46.0,48.0,50.0,52.0,54.0,57.0,61.0,67.0,72.0,7.0
2020-03-11,27.0,30.0,34.0,37.0,40.0,42.0,44.0,46.0,48.0,50.0,51.0,53.0,55.0,57.0,60.0,62.0,65.0,68.0,73.0,80.0,86.0,23.0
2020-03-12,33.0,37.0,42.0,45.0,48.0,51.0,53.0,55.0,57.0,60.0,62.0,64.0,66.0,69.0,71.0,74.0,78.0,82.0,87.0,95.0,102.0,50.0
2020-03-13,40.0,44.0,50.0,54.0,58.0,61.0,63.0,66.0,69.0,71.0,74.0,76.0,79.0,82.0,85.0,88.0,92.0,97.0,103.0,113.0,121.0,68.0
2020-03-14,48.0,53.0,60.0,65.0,69.0,72.0,75.0,78.0,81.0,84.0,87.0,90.0,94.0,97.0,101.0,105.0,109.0,115.0,122.0,133.0,143.0,61.0
2020-03-15,57.0,63.0,71.0,77.0,81.0,85.0,89.0,93.0,96.0,100.0,103.0,107.0,110.0,114.0,119.0,123.0,129.0,135.0,143.0,156.0,168.0,97.0
2020-03-16,68.0,75.0,84.0,90.0,96.0,101.0,105.0,109.0,113.0,117.0,121.0,125.0,130.0,134.0,139.0,144.0,151.0,158.0,168.0,182.0,196.0,110.0
2020-03-17,80.0,88.0,99.0,106.0,112.0,118.0,123.0,128.0,132.0,137.0,142.0,146.0,151.0,157.0,162.0,169.0,176.0,184.0,195.0,213.0,229.0,144.0
2020-03-18,93.0,103.0,115.0,124.0,131.0,137.0,143.0,148.0,154.0,159.0,165.0,170.0,176.0,182.0,189.0,196.0,204.0,214.0,227.0,247.0,265.0,161.0
2020-03-19,108.0,120.0,133.0,143.0,151.0,159.0,165.0,172.0,178.0,184.0,190.0,197.0,203.0,210.0,218.0,226.0,236.0,247.0,262.0,285.0,306.0,174.0
2020-03-20,125.0,138.0,154.0,165.0,174.0,183.0,191.0,198.0,205.0,212.0,219.0,227.0,234.0,242.0,250.0,260.0,271.0,284.0,301.0,327.0,351.0,216.0
2020-03-21,144.0,158.0,177.0,189.0,200.0,210.0,219.0,227.0,235.0,243.0,251.0,259.0,268.0,277.0,287.0,298.0,310.0,325.0,344.0,374.0,401.0,261.0
2020-03-22,164.0,181.0,202.0,216.0,228.0,239.0,249.0,259.0,268.0,277.0,286.0,295.0,305.0,315.0,327.0,339.0,353.0,370.0,391.0,425.04999999998836,457.0,307.0
2020-03-23,187.0,206.0,229.0,245.0,259.0,271.0,283.0,294.0,304.0,314.0,325.0,335.0,346.0,358.0,370.0,384.0,400.0,419.0,444.0,483.0,518.0,389.0
2020-03-24,211.0,232.0,258.0,277.0,292.0,306.0,319.0,331.0,342.0,354.0,366.0,378.0,390.0,403.0,418.0,433.0,451.0,472.0,500.0,543.0,582.0,404.0
2020-03-25,237.0,261.9500000000007,291.0,312.0,329.0,345.0,359.0,372.0,386.0,398.0,411.0,425.0,439.0,453.0,469.0,486.0,506.0,530.0,561.0,609.0,654.0,539.0
2020-03-26,267.0,293.0,325.0,349.0,368.0,385.0,401.0,416.0,431.0,445.0,460.0,475.0,490.0,506.0,524.0,544.0,566.0,593.0,627.0,681.0,731.0,877.0
2020-03-27,297.0,326.0,362.0,388.0,410.0,429.0,447.0,464.0,480.0,496.0,512.0,529.0,546.0,564.0,583.0,605.0,630.0,659.0,698.0,759.0,813.0,855.0
2020-03-28,329.0,362.0,402.0,430.0,454.0,475.0,494.0,513.0,531.0,549.0,566.0,585.0,604.0,624.0,645.2999999999884,669.0,697.0,731.0,773.0,839.0,901.0,651.0
2020-03-29,363.0,399.0,442.0,474.0,500.0,523.0,545.0,565.0,586.0,605.0,625.0,645.0,666.0,689.0,712.0,738.0,768.0,804.0,851.0,923.0,989.0,755.0
2020-03-30,400.0,438.9500000000007,487.0,522.0,550.0,575.0,599.0,621.0,643.0,664.0,686.0,708.0,731.0,756.0,782.0,810.0,844.0,883.0,935.0,1015.0,1087.0,1100.0
2020-03-31,437.0,480.0,532.0,570.0,602.0,629.0,655.0,680.0,704.0,727.0,750.0,774.0,799.0,826.0,854.0,886.0,922.0,965.0,1022.0,1110.0,1190.0,1162.0
2020-04-01,475.0,522.0,579.0,620.0,654.0,684.0,712.0,738.0,764.0,790.0,815.0,841.0,869.0,897.0,928.0,963.0,1003.0,1049.0,1111.0,1206.0,1294.0,1274.0
2020-04-02,516.0,566.0,628.0,672.0,708.0,741.0,771.0,800.0,827.0,855.0,883.0,911.0,940.0,972.0,1005.0,1043.0,1085.0,1137.0,1202.0,1305.0,1399.0,1333.0
2020-04-03,556.0,610.0,677.0,725.0,765.0,800.0,832.0,863.0,893.0,923.0,953.0,983.0,1015.0,1048.0,1084.0,1124.0,1169.0,1223.0,1295.0,1405.0,1508.0,1379.0
2020-04-04,596.0,654.0,726.0,778.0,820.0,858.0,893.0,926.0,958.0,991.0,1023.0,1055.0,1089.0,1125.0,1164.0,1207.0,1256.0,1314.0,1391.0,1510.0,1617.0,1227.0
2020-04-05,639.0,700.0,777.0,832.0,877.0,917.0,955.0,990.0,1025.0,1059.0,1093.0,1128.0,1164.0,1203.0,1245.0,1291.0,1344.0,1407.0,1487.0,1615.0,1731.0,1406.0
2020-04-06,680.0,745.0,825.0,885.0,933.0,976.0,1016.0,1054.0,1091.0,1127.0,1164.0,1201.0,1240.0,1281.0,1324.0,1373.0,1429.0,1495.0,1581.0,1718.0,1843.0,1159.0
2020-04-07,719.0,789.0,875.0,937.0,988.0,1034.0,1076.0,1116.0,1155.0,1194.0,1232.0,1271.0,1313.0,1356.0,1403.0,1454.0,1514.0,1585.0,1677.0,1820.0,1950.0,1179.0
2020-04-08,761.0,834.0,926.0,991.0,1046.0,1094.0,1138.0,1180.0,1221.0,1263.0,1303.0,1344.0,1387.0,1433.0,1483.0,1537.0,1599.0,1674.0,1771.0,1921.0,2057.0,1503.0
2020-04-09,801.0,876.0,972.0,1041.0,1099.0,1149.0,1195.0,1240.0,1283.0,1326.0,1369.0,1412.0,1457.0,1505.0,1557.0,1614.0,1679.0,1759.0,1861.0,2019.0,2165.0,1148.0
